feature,importance
months_high_util,0.015858283
PAY_4,0.01501251
num_low_pay_ratio,0.014915981
total_bill,0.014739443
weighted_delay_v2,0.014717897
BILL_AMT5,0.014269441
PAY_AMT2,0.014182888
severe_delay_x_util,0.014003732
credit_util_5,0.013905902
max_pay_amt,0.013770944
num_zero_payments,0.013734506
bill_pct_change_4_5,0.013696335
bill_pct_change_2_3,0.0136516085
std_pay_amt,0.013634998
recent_delay_avg,0.013534921
BILL_AMT6,0.013519156
credit_util_4,0.01351092
old_pay_mean,0.013494264
pay_bill_ratio_5,0.013416286
recent_pay_mean,0.013393927
mean_util,0.013358929
total_pay,0.013353421
BILL_AMT3,0.0132826725
credit_util_3,0.013234772
pay_bill_ratio_6,0.0131920865
credit_util_2,0.013147648
bill_abs_change_3_4,0.013142092
pay_bill_ratio_4,0.013100962
bill_abs_change_2_3,0.013064287
bill_slope,0.013062076
pay_bill_ratio_2,0.013030473
PAY_AMT3,0.013022704
weighted_delay,0.012933742
credit_util_1,0.012887256
recent_util_vs_avg,0.012871967
bill_pct_change_1_2,0.012821486
PAY_AMT6,0.012818028
PAY_2,0.0128066605
payment_change_recent,0.0127555905
std_util,0.012710075
bill_pct_change_3_4,0.012687811
LIMIT_BAL,0.01267542
pay_bill_ratio_3,0.012653363
PAY_AMT1,0.012639278
PAY_AMT5,0.012632457
max_util,0.012609246
MARRIAGE,0.012607527
bill_abs_change_5_6,0.012603267
num_months_delayed,0.012585274
bill_abs_change_4_5,0.012526513
delay_deterioration,0.012517688
recent_delay_x_util,0.012500423
BILL_AMT2,0.01239546
pay_bill_ratio_1,0.012372906
bill_abs_change_1_6,0.012361769
mean_pay_status,0.012267372
mean_pay_amt,0.012242848
min_pay_bill_ratio,0.012241647
bill_pct_change_1_6,0.012171477
AGE,0.012088096
mean_pay_bill_ratio,0.012034292
recent_delay_mean,0.012000614
BILL_AMT1,0.011890285
bill_pct_change_5_6,0.011769247
PAY_AMT4,0.011766111
SEX,0.011753861
PAY_3,0.01174774
bill_abs_change_1_2,0.01174585
BILL_AMT4,0.011740808
delay_deterioration_v2,0.01172068
older_delay_avg,0.011626933
credit_util_6,0.011544967
EDUCATION,0.011528575
months_over_limit,0.011424382
delay_count_x_util,0.010951286
max_delay,0.009357749
PAY_0,0.009100572
PAY_6,0.008766566
PAY_5,0.006588851
old_delay_mean,0.0
ever_delayed,0.0
num_severe_delays,0.0
