iter	Logloss
0	0.6646492322
1	0.6396625805
2	0.6177301757
3	0.5979398886
4	0.5809813881
5	0.5650534884
6	0.5512679797	7	0.5371650473
8	0.5291228835
9	0.5195196406
10	0.5105288728
11	0.502637662912	0.4936397839
13	0.4878580983
14	0.4820212142
15	0.4769358126
16	0.4722850672
17	0.4680034033
18	0.4646234957
19	0.4611880302
20	0.4586493079
21	0.4559229183
22	0.4533920638
23	0.4512026501
24	0.4490548801
25	0.4472786268
26	0.4456098874
27	0.4440998077
28	0.4429357942
29	0.4415546799
30	0.4404151917
31	0.4391439819
32	0.4380481434
33	0.437149992
34	0.4362392902
35	0.4355770365
36	0.4347342205
37	0.433986117
38	0.4333458455
39	0.4327652709
40	0.4322245121
41	0.4316037305
42	0.4311469809
43	0.4305932776
44	0.4302679412
45	0.4297792594
46	0.4294465764
47	0.4289308071
48	0.4285222499
49	0.428173968
50	0.4278327719
51	0.4275267347
52	0.4271055094
53	0.4267749023
54	0.4264583937
55	0.4262091319
56	0.4260111046
57	0.4257553514
58	0.4254747931
59	0.425274442
60	0.4251187738
61	0.4249109427
62	0.4246286774
63	0.4243801689
64	0.424201355
65	0.424007686
66	0.4238335323
67	0.4236096986
68	0.4234994793
69	0.423400809
70	0.42323954971	0.424980669
7272	0.4228101476
73	0.4226667468
74	0.42251757975	0.4242962646
76	0.4241955312
77	0.4240727361
78	0.423984588
79	0.4237892882
80	0.4236770757
81	0.4235409037
82	0.4233769798
8383	0.4213090356
84	0.4212219683
85	0.4210876878
86	0.4208899212
87	0.4207622464
88	0.4206368319
89	0.4205349668
90	0.4204476039
91	0.4203672473
92	0.4202872817
93	0.4201699225
94	0.4200049051
95	0.4198946444
96	0.4197354317
97	0.4195800273
98	0.4194695473
99	0.4193939622
100	0.4192721558
101	0.4191563479
102	0.4190606308
103	0.4189828904
104	0.4188958708
105	0.4187517452
106	0.41864055
107	0.4185448519
108	0.4184061209
109	0.4182739131
110	0.4181371053
111	0.4180152543
112	0.4179196008
113	0.4178522555
114	0.4177640184
115	0.417695516
116	0.417632637
117	0.41752977051118	0.4174802272
119	0.417382164
120	0.4172826926
121	0.4172153378
122	0.41710289
123	0.4169863383
124	0.4168802865
125	0.4167769718
126	0.416681544
127	0.4166101329
128	0.4165272872
129	0.4164739768
130	0.4163770358
131	0.4162876574
132	0.4162099361
133	0.4161115774
134	0.4160498047
135	0.416001962
136	0.4159428533
137	0.4158907986
138	0.4158122921
139	0.4157333565
140	0.4156180922
141	0.4155468432
142	0.4154945087
143	0.4154280313
144	0.4153094578
145	0.4152144082
146	0.4151266829
147	0.4150413322
148	0.4149922434
149	0.4149083328
150	0.414841404
151	0.4147828484
152	0.4146729215
153	0.414588445
154	0.4145134163
155	0.4144438648
156	0.414378465
157	0.4142822965
158	0.4142061234
159	0.4141269652
160	0.4140530809
161	0.4139877446
162	0.4139171537
163	0.413816328
164	0.4137602329
165	0.4136923854
166	0.4136196136
167	0.4135373688
168	0.4134695212
169	0.4133971723
170	0.413276364
171	0.413199323
172	0.4131159878
173	0.4130495548
174	0.4129680634
175	0.4128571637
176	0.4128077157
177	0.4127095413
178	0.4126115672
179	0.4125283623
180	0.4124522177
181	0.4123587704
182	0.412307663
183	0.4121856117
184	0.4120713615
185	0.4119847775
186	0.4119019667
187	0.4118249098
188	0.4117220815
189	0.4116259321
190	0.4115162055
191191	0.41389149192192	0.41384038193193	0.413762153
194	0.4136963813
195	0.4136341794
196	0.413545049
197	0.4134793377
198	0.4133937995
199	0.4133181763
200	0.4131940142
201	0.4130967935
202	0.4130156136
203	0.4129243469
204	0.4128222084
205	0.4127443536
206	0.4126579889
207	0.4125540257
208	0.4124896781
209	0.4124418481
210	0.412358977
211	0.4122867139
212	0.4122266897
213	0.4121584797
214	0.4120601686
215	0.4119449202
216	0.4118542512
217	0.4117217573
218	0.4116391945
219	0.4115741889
220	0.4115155284
221	0.4114672788
222	0.4114019267
223	0.4112873363
224	0.411163168
225	0.4111086941
226	0.4110196527
227	0.4109717528
228	0.4108782387
229	0.4107680066
230	0.4107003498
231	0.4106532256
232	0.410580279
233	0.4104759979
234	0.4103637409
235	0.4102676773
236	0.4101399994
237	0.4100958347
238	0.4100239595
239	0.4099385325
240	0.409866883
241	0.4097881413
242	0.4097502867
243	0.4096698475
244	0.4095993042
245	0.4095509879
246	0.4094488366
247	0.4093719927
248	0.4092729155
249	0.4091882006
250	0.4090902424
251	0.4089904658
252	0.4089231014
253	0.4088083331
254	0.4086961524
255	0.4086154588
256	0.4085521793
257	0.4084666061
258	0.4083945497
259	0.4083121967
260	0.408217907
261	0.4081236808
262	0.4080575339
263	0.407946434
264	0.4078333092
265	0.4077680461
266	0.4076752313
267	0.4075648657
268	0.4074738661
269	0.4073803075
270	0.407311856
271	0.4072254117
272	0.4071546745
273	0.4070832602
274	0.4070441564
275	0.4069427395
276	0.4068562222
277	0.406755991
278	0.4066820494
279	0.4065919495
280	0.4064862124
281	0.4064005979
282	0.4063101228
283	0.4062486172
284	0.4061310069
285	0.4060317008
286	0.4059346422
287	0.4058421294
288	0.4057968235
289	0.4057095146
290	0.4056565952
291	0.4055889861
292	0.405502847
293	0.4054230086
294	0.4053322188
295	0.4052810065
296	0.4052167988
297	0.4051285013
298	0.4050450993
299	0.4049778557
11
