iter	Passed	Remaining
0	175	52453
1	206	30800
2	244	24223
3	305	22619
4	442	26105
5	490	24028
6	510	21369
7	901	32910
8	1178	38103
9	1551	44994
10	1571	41299
11	1591	3820012	1700	37549
13	1933	39508
14	1996	37937
15	2231	39602
16	2254	37532
17	2356	36911
18	2412	35676
19	2515	35223
20	2580	34278
21	2650	33491
22	2728	32860
23	2772	31882
24	2811	30923
25	2887	30426
26	2910	29427
27	2954	28700
28	3023	28256
29	3079	27711
30	3123	27104
31	3198	26790
32	3244	26252
33	3325	26013
34	3381	25603
35	3456	25349
36	3539	25157
37	3586	24729
38	3642	24376
39	3696	24028
40	3747	23673
41	3806	23384
42	3882	23206
43	4003	23295
44	4127	23387
45	4204	23217
46	4267	22972
47	4317	22668
48	4379	22434
49	4434	22173
50	4476	21853
51	4565	21774
52	4718	21990
53	4802	21876
54	4922	21928
55	4985	21721
56	5034	21460
57	5128	21396
58	5234	21382
59	5287	21150
60	5374	21056
61	5398	20722
62	5436	20450
63	5485	20229
64	5571	20143
65	5610	19893
66	5670	19718
67	5798	19784
68	5884	19699
69	5910	19420
70	5948	171	5999	18999
72	6072	6153	19133
73	6189	18903
74	6205	175	6337	18678
76	6351	18394
77	6370	18130
78	6392	17881
79	6412	17635
80	6438	17406
81	6458	17169
82	6474	16927
83	6483	6571	16899
84	6632	16777
85	6672	16604
86	6709	16426
87	6744	16247
88	6791	16100
89	6830	15937
90	6887	15819
91	6931	15672
92	6965	15504
93	7010	15363
94	7063	15242
95	7108	15105
96	7155	14974
97	7229	14901
98	7272	14766
99	7306	14613
100	7345	14472
101	7390	14346
102	7436	14223
103	7478	14093
104	7535	13993
105	7620	13947
106	7686	13864
107	7758	13792
108	7804	13675
109	7885	13621
110	7939	13518
111	7984	13402
112	8029	13288
113	8075	13175
114	8125	13071
115	8161	12945
116	8197	1117	8117	8235	1118	8118	8272	12582
119	8315	12472
120	8361	12369
121	8413	12275
122	8472	12192
123	8522	12097
124	8569	11997
125	8612	11893
126	8647	11779
127	8693	11681
128	8749	11597
129	8790	11495
130	8828	11389
131	8859	11275
132	8907	11184
133	8937	11072
134	8978	10974
135	9042	10904
136	9077	10800
137	9109	10693
138	9146	10594
139	9174	10485
140	9203	10378
141	9237	10278
142	9268	10175
143	9304	10080
144	9334	9978
145	9369	9882
146	9399	9783
147	9432	9687
148	9476	9604
149	9508	9508
150	9551	9425
151	9588	9336
152	9622	9245
153	9653	9152
154	9695	9070
155	9737	8988
156	9774	8902
157	9810	8817
158	9847	8732
159	9894	8657
160	9931	8574
161	9982	8503
162	10017	8419
163	10081	8360
164	10117	8277
165	10151	8194
166	10183	8110
167	10213	8024
168	10244	7940
169	10279	7860
170	10309	7777
171	10343	7697
172	10387	7625
173	10416	7543
174	10446	7461
175	10477	7381
176	10546	7328
177	10662	7308
178	10694	7229
179	10731	7154
180	10781	7088
181	10827	7019
182	10866	6947
183	10942	6898
184	109185	1100185	110186	1109186	111187	1117187	112188	1125188	113189	1133189	11432	6619
190	114191	11504	6471
192	11549	6403
193	11589	6332
194	11616	6254
195	11643	6178
196	11671	6102
197	11698	6026
198	11728	5952
199	11755	5877
200	11783	5803
201	11814	5731
202	11840	5657
203	11873	5587
204	11906	5517
205	11931	5444
206	11977	5381
207	12030	5321
208	12069	5254
209	12105	5188
210	12138	5119
211	12165	5049
212	12190	4979
213	12219	4910
214	12258	4846
215	12309	4787
216	12348	4723
217	12383	4657
218	12427	4596
219	12471	4534
220	12506	4470
221	12536	4404
222	12577	4343
223	12621	4282
224	12697	4232
225	12734	4169
226	12764	4105
227	12829	4051
228	12912	4003
229	12981	3950
230	13052	3898
231	13100	3839
232	13130	3775
233	13162	3712
234	13196	3650
235	13261	3596
236	13309	3537
237	13344	3476
238	13376	3414
239	13409	3352
240	13453	3293
241	13485	3232
242	13524	3172
243	13557	3111
244	13592	3051
245	13633	2992
246	13691	2937
247	13722	2877
248	13749	2816
249	13777	2755
250	13813	2696
251	13842	2636
252	13873	2577
253	13899	2517
254	13936	2459
255	13971	2401
256	14000	2342
257	14035	2284
258	14066	2226
259	14093	2168
260	14120	2109
261	14149	2052
262	14176	1994
263	14215	1938
264	14251	1882
265	14285	1825
266	14322	1770
267	14362	1714
268	14433	1663
269	14478	1608
270	14574	1559
271	14592	1502
272	14618	1445
273	14649	1390
274	14678	1334
275	14734	1281
276	14777	1227
277	14816	1172
278	14860	1118
279	14883	1063
280	14906	1007
281	14928	952
282	14946	897
283	14967	843
284	14987	788
285	15015	735
286	15039	681
287	15063	627
288	15084	574
289	15107	520
290	15131	467
291	15154	415
292	15174	362
293	15191	310
294	15206	257
295	15222	205
296	15238	153
297	15252	102
298	15265	51
299	15277	0
5238	0
